Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,10.9067,11.1267,10.6633,10.8567,1.463835,18303165
2001-01-02,10.78,11.06,10.7,10.9333,1.474164,13548540
2001-01-03,10.76,11.4267,10.6767,11.07,1.4925950000000001,34217010
2001-01-04,11.1933,11.3667,10.24,10.34,1.394168,30387795
2001-01-05,10.2667,10.64,10.15,10.4833,1.413489,19196895
2001-01-08,10.3333,10.7967,10.2,10.6867,1.440914,23999520
2001-01-09,10.5333,10.7233,10.29,10.36,1.3968639999999999,15953250
2001-01-10,10.53,10.6667,9.8,10.0533,1.3555110000000001,19108695
2001-01-11,10.1,10.6067,10.1,10.4133,1.404051,31472790
2001-01-12,10.4933,10.59,9.91333,9.96667,1.343831,26528040
2001-01-15,9.86667,10.1333,9.84,10.02,1.3510209999999998,13424640
2001-01-16,10.1,10.4,9.96,10.01,1.349673,24936105
2001-01-17,10.1667,10.4,10.1,10.19,1.3739430000000001,26870550
2001-01-18,10.2667,10.6267,10.1667,10.4167,1.404509,40404885
2001-01-19,10.4667,10.6633,10.1733,10.4967,1.4152959999999999,44259270
2001-01-22,10.5467,10.9833,10.5367,10.7333,1.4471969999999998,41949030
2001-01-23,10.6867,10.84,10.3733,10.4433,1.408096,22049910
2001-01-24,10.48,10.6567,10.2667,10.4033,1.4027020000000001,27856215
2001-01-25,10.4533,10.9267,10.4533,10.78,1.453494,67611165
2001-01-29,10.6733,10.83,10.1333,10.6367,1.434172,38848725
2001-01-30,10.7,11.46,10.6667,11.3567,1.531252,69415410
2001-01-31,11.35,11.93,11.14,11.22,1.51282,66277860
2001-02-01,11.1,11.2667,10.5667,10.77,1.452145,94304160
2001-02-02,10.74,11.6333,10.7333,11.59,1.562708,117032295
2001-02-05,11.5933,12.1333,11.5333,11.9133,1.6063,57768630
2001-02-06,11.93,12.1333,11.5667,11.7233,1.580681,32019060
2001-02-07,11.5,11.7833,11.1667,11.55,1.557315,35483475
2001-02-08,11.4333,12.4267,11.4333,12.2333,1.649446,58069725
2001-02-09,12.4333,13.06,12.3933,12.7367,1.7173209999999999,76577625
2001-02-12,12.67,12.8,12.2667,12.3767,1.668781,26965875
2001-02-13,12.4,12.4567,11.8933,12.1667,1.640466,31062810
2001-02-14,12.1667,12.6,11.9333,12.5167,1.687657,51635115
2001-02-15,12.6267,12.8,12.4167,12.5167,1.687657,28858440
2001-02-16,12.5933,12.6333,11.6667,11.8733,1.600906,29003190
2001-02-19,11.7567,12.1267,11.25,11.6367,1.569005,29357865
2001-02-20,11.6667,12.1233,11.5033,11.8967,1.604061,35027610
2001-02-21,12.0,12.3333,11.8733,12.16,1.639563,36694230
2001-02-22,12.1733,12.3233,11.9,12.04,1.6233819999999999,23108160
2001-02-23,11.9567,11.9867,11.0767,11.2367,1.515072,25460445
2001-02-26,11.0667,11.31,10.7333,11.24,1.515517,12680955
2001-02-27,11.2667,11.5333,10.8367,10.95,1.476415,22370415
2001-02-28,11.0133,11.7,10.54,10.7967,1.455745,31762350
2001-03-01,10.87,11.63,10.8,11.22,1.51282,26720760
2001-03-02,11.4667,12.32,11.3333,11.5033,1.551018,33374370
2001-03-05,11.6433,11.7,11.05,11.1633,1.505175,17513160
2001-03-07,11.3333,11.4933,10.31,10.77,1.452145,11160825
2001-03-08,10.8667,11.02,10.52,10.6267,1.4328239999999999,6703725
2001-03-09,10.5333,10.5333,9.35,9.56667,1.289898,12225180
